TERM,COURSE,ENRL,MEDIAN
15S,ENGL-022-01,14,A
15S,ENGL-027-01,12,A-/B+
15S,ENGL-032-01,31,A-
15S,ENGL-034-01,166,B+
15S,ENGL-037-01,48,A-
15S,ENGL-07.01-01,16,A-
15S,ENGL-07.02-01,15,A-
15S,ENGL-07.03-01,13,B+
15S,ENGL-07.16-01,16,B+
15S,ENGL-07.37-01,16,A-/B+
15S,ENGL-080-01,11,A-
15S,ENGL-083-01,12,A-
15S,ENGL-084-01,10,A
15S,ENGL-53.04-01,12,A
15S,ENGL-53.17-01,28,A-
15S,ENGL-53.34-01,45,A-
15S,ENGL-72.01-01,10,A-/B+
15S,ENGS-005-01,60,B+
15S,ENGS-006-01,28,B+/B
15S,ENGS-008-01,41,B+
15S,ENGS-012-01,27,A
15S,ENGS-020-01,45,B+
15S,ENGS-020-02,27,B+
15S,ENGS-021-01,62,A-
15S,ENGS-022-01,52,B+
15S,ENGS-023-01,17,B-
15S,ENGS-024-01,60,B+
15S,ENGS-025-01,41,B
15S,ENGS-030-01,34,A
15S,ENGS-031-01,18,B+/B
15S,ENGS-041-01,15,B
15S,ENGS-044-01,23,A-
15S,ENGS-056-01,23,B+
15S,ENGS-057-01,11,B+
15S,ENGS-07.05-01,16,B+
15S,ENGS-071-01,33,A-
15S,ENGS-093-01,22,A-
15S,ENGS-146-01,17,A-
15S,ENGS-165-01,11,A-
15S,ENGS-169-01,11,B+
15S,ENVS-012-01,32,B+
15S,ENVS-015-01,53,B+
15S,ENVS-019-01,10,A
15S,ENVS-028-01,22,B+/B
15S,ENVS-050-01,25,A
15S,ENVS-056-01,12,B+/B
15S,ENVS-07.04-01,15,A-
15S,ENVS-07.11-01,16,A-
15S,ENVS-80.02-01,13,A
15S,FILM-022-01,22,B+
15S,FILM-032-01,11,A
15S,FILM-034-01,16,A-
15S,FILM-045-01,25,B
15S,FILM-051-01,11,A
15S,FILM-07.12-01,16,A-/B+
15S,FILM-39.01-01,10,B+
15S,FILM-41.04-01,24,A-
15S,FILM-42.04-01,10,A
15S,FILM-42.09-01,25,A-
15S,FILM-43.04-01,14,A-
15S,FREN-001-01,13,A
15S,FREN-002-01,17,A-
15S,FREN-002-02,13,A-
15S,FREN-003-01,14,A-
15S,FREN-003-03,15,A-
15S,FREN-003-90,10,A
15S,FREN-005-90,10,A
15S,FREN-006-90,10,A /A-
15S,FREN-008-01,11,A-
15S,FREN-008-02,16,A-
15S,FREN-022-01,12,A-/B+
15S,FREN-023-01,13,A-
15S,FREN-029-90,11,A-
15S,FREN-030-90,11,A-
15S,FREN-031-90,11,A-
15S,GEOG-001-01,52,A-
15S,GEOG-002-01,28,B+
15S,GEOG-003-01,19,A-
15S,GEOG-005-01,22,A-
15S,GEOG-017-01,37,A
15S,GEOG-035-01,15,B+
15S,GEOG-047-90,13,A-
15S,GEOG-050-01,37,B+
15S,GEOG-056-01,24,A-/B+
15S,GEOG-07.13-01,16,A
15S,GEOG-081-90,13,A-
15S,GEOG-082-90,12,A-
15S,GEOG-80.03-01,25,A
15S,GERM-002-01,19,B+
15S,GERM-003-01,10,A
15S,GERM-013-01,39,B+
15S,GERM-10.03-01,10,A-
15S,GOVT-003-01,52,B+
15S,GOVT-004-01,36,B+
15S,GOVT-005-01,37,B+
15S,GOVT-005-02,47,B+
15S,GOVT-005-03,49,A-
15S,GOVT-006-01,24,B+
15S,GOVT-010-01,30,B
15S,GOVT-010-02,42,B+
15S,GOVT-010-03,30,B
15S,GOVT-016-01,35,B+
15S,GOVT-037-01,35,B+
15S,GOVT-047-01,10,B+/B
15S,GOVT-057-01,23,B+
15S,GOVT-066-01,27,B+
15S,GOVT-069-01,27,B+
15S,GOVT-07.03-01,16,A-
15S,GOVT-094-90,12,A-
15S,GOVT-095-90,12,A-
15S,GOVT-30.07-01,33,B+
15S,GOVT-40.14-01,19,A-
15S,GOVT-40.15-01,31,A-
15S,GOVT-50.05-01,32,B+
15S,GOVT-50.15-01,31,A-
15S,GOVT-60.01-01,42,B+
15S,GOVT-60.10-01,24,B+
15S,GOVT-81.08-01,16,A-/B+
15S,GOVT-84.26-01,13,A-
15S,GOVT-85.08-01,13,A-
15S,GOVT-85.12-01,16,B+
15S,GOVT-85.29-01,14,A /A-
15S,GOVT-86.07-01,16,A-
15S,GOVT-86.17-01,12,A-
15S,HIST-016-01,11,B+
15S,HIST-026-01,34,A-
15S,HIST-026-02,23,A-
15S,HIST-034-01,49,B+
15S,HIST-047-01,12,B+/B
15S,HIST-05.01-01,17,B+
15S,HIST-050-01,11,B+
15S,HIST-06.17-01,13,A-
15S,HIST-06.19-01,30,B+
15S,HIST-061-01,11,B+
15S,HIST-062-01,14,A-/B+
15S,HIST-065-01,12,B+
15S,HIST-066-01,18,A-/B+
15S,HIST-07.21-01,16,A-
15S,HIST-07.22-01,15,A-
15S,HIST-07.23-01,16,A /A-
15S,HIST-077-01,24,A-
15S,HIST-079-01,41,A-
15S,HIST-081-01,28,B+
15S,HIST-099-01,11,A
15S,HIST-25.03-01,43,B+
15S,HIST-94.01-01,22,A-/B+
15S,HIST-94.07-01,11,B+
15S,HIST-96.04-01,12,B+
15S,HIST-96.22-01,12,B+
15S,HIST-96.22-02,12,B+
15S,INTS-018-01,28,B+
15S,INTS-17.07-01,20,A-
15S,ITAL-002-01,14,A-
15S,ITAL-002-02,13,A-
15S,ITAL-003-01,10,A-
15S,ITAL-003-02,11,A
15S,ITAL-07.01-01,16,A
15S,JAPN-003-01,13,A-
15S,JAPN-003-02,11,A
15S,JAPN-010-01,59,B+
15S,JWST-062-01,29,B+
15S,LACS-042-01,47,B+
15S,LACS-048-01,12,A-
15S,LACS-057-01,28,B+
15S,LACS-07.01-01,16,A-
15S,LACS-50.07-01,19,A-
15S,LACS-50.08-01,31,A-
15S,LAT -003-01,18,A-/B+
15S,LATS-041-01,16,A
15S,LING-001-01,54,B+
15S,LING-017-01,34,A-
15S,LING-021-01,15,A-
15S,LING-025-01,12,A /A-
15S,LING-07.06-01,16,A-
15S,LING-80.04-01,10,A /A-
15S,M&SS-015-01,14,A
15S,M&SS-017-01,35,B+
15S,MALS-364-01,12,A
15S,MATH-004-01,18,A
15S,MATH-008-01,29,B-
15S,MATH-008-06,29,B-
15S,MATH-010-01,25,A-
15S,MATH-010-02,25,A-
15S,MATH-013-01,49,B
15S,MATH-013-02,49,B
15S,MATH-017-01,12,A-
15S,MATH-020-01,35,A-
15S,MATH-022-01,101,B+
15S,MATH-022-02,101,B+
15S,MATH-022-03,101,B+
15S,MATH-023-01,43,B
15S,MATH-023-02,43,B
15S,MATH-024-01,16,A-/B+
15S,MATH-027-01,18,A
15S,MATH-043-01,27,B+
15S,MATH-046-01,17,B+
15S,MATH-066-01,12,A-/B+
15S,MATH-07.03-01,16,A
15S,MATH-070-01,10,A-/B+
15S,MUS -001-01,14,A
15S,MUS -004-01,12,A /A-
15S,MUS -016-01,11,A-
15S,MUS -023-01,12,A-
15S,MUS -051-01,29,A
15S,MUS -55.03-01,12,A
15S,MUS -56.03-01,12,A
15S,NAS -019-01,10,A
15S,NAS -035-01,31,A-
15S,NAS -050-01,27,B+
15S,NAS -30.07-01,13,A-
15S,PBPL-026-01,16,B+
15S,PBPL-041-01,18,A
15S,PBPL-044-01,35,B+
15S,PBPL-82.01-01,16,B+
15S,PHIL-003-01,28,B+
15S,PHIL-006-01,14,A-/B+
15S,PHIL-01.05-01,28,A-
15S,PHIL-01.08-01,29,B+
15S,PHIL-017-01,11,A-
15S,PHIL-026-01,26,A
15S,PHIL-034-01,10,A-/B+
15S,PHIL-037-01,12,A-
15S,PHIL-07.01-01,16,A-
15S,PHIL-80.12-01,11,B
15S,PHYS-001-01,21,B+
15S,PHYS-002-01,24,A-
15S,PHYS-004-01,41,A-
15S,PHYS-014-01,112,B+
15S,PHYS-014-02,112,B+
15S,PHYS-019-01,13,A
15S,PHYS-024-01,20,A-
15S,PHYS-030-01,34,A
15S,PHYS-044-01,17,B+
15S,PHYS-82.01-01,19,A
15S,PSYC-001-01,79,B+
15S,PSYC-010-01,72,A-
15S,PSYC-011-01,25,B+
15S,PSYC-021-01,41,B+
15S,PSYC-022-01,64,A-
15S,PSYC-028-01,95,A-
15S,PSYC-046-01,30,B
15S,PSYC-065-01,16,B
15S,PSYC-065-02,24,B+
15S,PSYC-07.02-01,16,A-
15S,PSYC-50.01-01,35,B+
15S,PSYC-50.10-01,10,A-
15S,PSYC-51.01-01,22,A-
15S,PSYC-51.04-01,14,A-
15S,PSYC-52.01-01,37,A
15S,PSYC-53.03-01,16,B+
15S,PSYC-53.09-01,15,A-
15S,PSYC-83.03-01,13,A-
15S,PSYC-85.04-01,14,A /A-
15S,PSYC-87.01-01,15,A-
15S,REL -015-01,22,A-/B+
15S,REL -016-01,40,B+
15S,REL -023-01,29,B+
15S,REL -035-01,11,A-
15S,REL -036-01,21,A
15S,REL -055-01,27,B+
15S,REL -056-01,23,B+
15S,REL -064-01,25,A-
15S,REL -19.13-01,38,A-
15S,REL -40.05-01,12,A-
15S,RUSS-003-02,11,A
15S,RUSS-013-01,61,A-
15S,RUSS-014-01,10,A
15S,RUSS-035-01,16,A /A-
15S,SART-015-01,17,A
15S,SART-015-02,13,A
15S,SART-015-03,14,A
15S,SART-016-01,11,A
15S,SART-025-01,15,A
15S,SART-029-01,11,A-
15S,SART-065-01,13,A-
15S,SART-077-02,11,A
15S,SART-17.07-01,11,A
15S,SOCY-002-01,45,A-
15S,SOCY-011-01,27,A-
15S,SOCY-021-01,33,A
15S,SOCY-026-01,38,B+
15S,SOCY-034-01,40,A
15S,SOCY-046-01,12,B+
15S,SOCY-047-01,34,A /A-
15S,SOCY-051-01,55,B+
15S,SOCY-07.02-01,16,B+
15S,SOCY-07.03-01,16,B+
15S,SOCY-091-01,14,B+
15S,SOCY-49.17-01,11,B+
15S,SPAN-001-01,12,A-/B+
15S,SPAN-001-02,17,A-
15S,SPAN-002-01,17,A-
15S,SPAN-002-02,13,B+
15S,SPAN-002-03,18,A-
15S,SPAN-002-04,12,B /B-
15S,SPAN-003-02,18,B+/B
15S,SPAN-003-03,18,A-
15S,SPAN-003-04,17,A-
15S,SPAN-003-05,17,A-
15S,SPAN-003-06,13,A-
15S,SPAN-003-90,11,A-
15S,SPAN-003-91,15,A-
15S,SPAN-005-90,11,A
15S,SPAN-005-91,15,A-
15S,SPAN-006-90,11,A-
15S,SPAN-006-91,15,A-
15S,SPAN-009-01,16,A-
15S,SPAN-009-02,14,A-
15S,SPAN-020-01,16,A-
15S,SPAN-020-02,14,A-
15S,SPAN-023-90,13,A
15S,SPAN-030-01,16,A-
15S,SPAN-033-90,13,A
15S,SPAN-035-90,13,A
15S,SPAN-045-01,14,A-
15S,SPAN-50.02-01,16,A
15S,SPAN-73.03-01,13,A-
15S,SPEE-20.01-01,12,A-
15S,THEA-017-01,18,A-
15S,THEA-024-01,21,A
15S,THEA-029-01,20,A
15S,THEA-030-01,16,A
15S,THEA-030-02,15,A-
15S,THEA-031-01,12,A-
15S,THEA-036-01,15,A
15S,THEA-048-01,10,A
15S,THEA-07.01-01,16,A
15S,THEA-07.01-02,16,A
15S,THEA-10.05-01,25,A-
15S,THEA-10.11-01,17,A
15S,TUCK-003-01,118,A-
15S,TUCK-003-02,118,A-
15S,WGST-016-01,33,A-
15S,WGST-07.01-01,16,A-
15S,WGST-07.12-01,15,A
15S,WGST-33.01-01,12,B+
15S,WGST-34.02-01,14,A
15S,WGST-43.03-01,23,B+
15S,WGST-52.03-01,15,A
15S,WGST-59.03-01,17,A
15S,WGST-66.05-01,12,A
15S,WGST-67.03-01,15,A-
15S,WRIT-010-01,15,A-
15S,WRIT-041-01,18,A
15S,WRIT-043-01,27,A
15S,WRIT-07.03-01,16,A-
15S,WRIT-07.06-01,16,A
15S,WRIT-07.12-01,16,A-
15S,WRIT-07.13-01,16,A
