TERM,COURSE,ENRL,MEDIAN
15S,AAAS-012-01,11,B+
15S,AAAS-014-01,17,B+
15S,AAAS-015-01,18,A-/B+
15S,AAAS-023-01,30,B+
15S,AAAS-025-01,12,B+
15S,AAAS-040-01,14,A
15S,AAAS-07.04-01,15,A-
15S,AAAS-55.01-01,25,A-
15S,AAAS-80.05-01,25,A
15S,AAAS-88.10-01,12,A /A-
15S,AMES-013-01,59,B+
15S,AMES-015-01,40,B+
15S,AMES-018-01,27,A
15S,AMES-024-01,21,A
15S,AMES-025-01,17,A
15S,AMES-053-90,16,A /A-
15S,AMES-054-90,16,B+
15S,AMES-21.08-01,22,A
15S,AMES-40.02-01,10,A-/B+
15S,AMES-41.01-01,15,A
15S,AMES-42.08-01,38,A-
15S,AMES-42.09-01,12,A-
15S,AMES-55.04-90,16,A-
15S,ANTH-014-01,16,B+
15S,ANTH-015-01,27,A-
15S,ANTH-018-01,11,A-
15S,ANTH-021-01,47,B+
15S,ANTH-037-01,14,B+
15S,ANTH-041-01,18,A
15S,ANTH-045-01,18,A-
15S,ANTH-048-01,24,B+/B
15S,ANTH-062-01,28,A
15S,ANTH-064-01,21,A
15S,ANTH-074-01,13,A
15S,ANTH-12.01-01,24,A-
15S,ANTH-50.06-01,30,A-
15S,ARAB-003-01,15,A
15S,ARAB-003-02,16,A-
15S,ARTH-010-90,14,A
15S,ARTH-011-90,14,A-
15S,ARTH-012-90,14,A-
15S,ARTH-020-01,24,A-/B+
15S,ARTH-046-01,10,B+
15S,ARTH-050-01,35,A-
15S,ARTH-052-01,49,B+
15S,ARTH-063-01,18,B+
15S,ARTH-07.08-01,16,A-
15S,ARTH-072-01,12,A-
15S,ASTR-001-01,62,B+
15S,BIOL-012-01,47,B
15S,BIOL-012-02,53,B
15S,BIOL-016-01,28,B
15S,BIOL-025-01,20,B
15S,BIOL-037-01,39,B+
15S,BIOL-049-01,30,B
15S,BIOL-063-01,11,A
15S,BIOL-07.02-01,16,A-
15S,BIOL-071-01,14,A-
15S,BIOL-099-01,10,A
15S,BIOL-11.03-01,44,B
15S,BIOL-171-01,14,A-
15S,CHEM-006-01,68,B
15S,CHEM-006-02,127,B
15S,CHEM-041-01,64,B+
15S,CHEM-051-01,48,B
15S,CHEM-058-01,19,A-
15S,CHEM-076-01,10,B+
15S,CHIN-003-01,12,A-
15S,CHIN-023-02,13,A
15S,CHIN-082-01,12,A
15S,CHIN-61.02-01,18,A
15S,CLST-002-01,25,A-
15S,CLST-019-01,11,B+
15S,CLST-025-01,28,B+
15S,CLST-030-90,14,A-
15S,CLST-030-91,14,A-
15S,CLST-031-90,14,A-
15S,CLST-07.06-01,16,A
15S,COCO-014-01,19,A
15S,COCO-02.03-01,30,A-
15S,COGS-002-01,95,A-
15S,COGS-026-01,26,A
15S,COLT-07.13-01,16,A /A-
15S,COLT-55.01-01,38,A-
15S,COLT-57.07-01,20,A-
15S,COSC-001-01,154,B+
15S,COSC-010-01,57,B+
15S,COSC-022-01,12,A /A-
15S,COSC-027-01,19,A-
15S,COSC-028-01,17,A-
15S,COSC-031-01,19,B+
15S,COSC-050-01,22,A
15S,COSC-050-02,57,A
15S,COSC-051-01,44,A
15S,COSC-056-01,18,B+/B
15S,COSC-060-01,29,A-
15S,COSC-061-01,49,A
15S,COSC-07.01-01,15,A
15S,COSC-070-01,31,B+
15S,COSC-077-01,58,A
15S,COSC-098-01,22,A
15S,COSC-170-01,31,B+
15S,COSC-177-01,58,A
15S,EARS-001-01,61,A-
15S,EARS-003-01,149,A-
15S,EARS-052-01,11,B+
15S,EARS-071-01,15,B+
15S,EARS-152-01,11,B+
15S,EARS-171-01,15,B+
15S,ECON-001-01,78,B-
15S,ECON-001-02,78,B-
15S,ECON-001-03,34,B
15S,ECON-001-04,34,B
15S,ECON-002-01,35,B
15S,ECON-010-01,57,B
15S,ECON-010-02,57,B
15S,ECON-020-01,62,B
15S,ECON-020-02,62,B
15S,ECON-021-01,42,B
15S,ECON-021-02,42,B
15S,ECON-021-03,60,B+
15S,ECON-021-04,60,B+
15S,ECON-022-01,62,B
15S,ECON-022-02,62,B
15S,ECON-022-03,34,B+
15S,ECON-022-04,34,B+
15S,ECON-024-01,72,A-/B+
15S,ECON-024-02,72,A-/B+
15S,ECON-026-01,30,B+
15S,ECON-026-02,30,B+
15S,ECON-028-01,35,B+
15S,ECON-029-01,68,B+
15S,ECON-029-02,68,B+
15S,ECON-036-01,51,B+
15S,ECON-036-02,51,B+
15S,ECON-038-01,34,B+
15S,ECON-039-01,64,B+
15S,ECON-039-02,64,B+
15S,ECON-045-01,14,A-
15S,ECON-045-02,14,A-
15S,ECON-046-01,50,A-
15S,ECON-046-02,50,A-
15S,ECON-046-03,50,A-
15S,ECON-049-01,29,A-
15S,ECON-049-02,29,A-
15S,EDUC-001-01,49,B+
15S,EDUC-057-01,37,B+
15S,EDUC-062-01,14,B+
15S,EDUC-09.05-01,32,A
15S,ENGL-003-01,26,B+
15S,ENGL-006-01,21,A-
15S,ENGL-015-01,27,A-
