TERM,COURSE,ENRL,MEDIAN
17W,FILM-42.13-01,11,B+
17W,FILM-46.01-01,30,B+
17W,FILM-47.22-01,30,A
17W,FREN-001-01,13,B+
17W,FREN-002-01,16,B+
17W,FREN-002-02,18,A-/B+
17W,FREN-002-03,16,A-
17W,FREN-003-01,10,A-
17W,FREN-003-02,15,A-
17W,FREN-003-03,15,A-
17W,FREN-003-90,16,A-
17W,FREN-005-90,16,A-
17W,FREN-006-90,16,A/A-
17W,FREN-008-01,14,A-
17W,FREN-023-01,11,A-
17W,FREN-024-01,10,A/A-
17W,FREN-029-90,12,A-
17W,FREN-030-90,12,A-
17W,FREN-031-90,12,A-
17W,FREN-07.02-01,16,A-
17W,FREN-10.06-01,13,A
17W,GEOG-002-01,43,A-
17W,GEOG-006-01,39,B+
17W,GEOG-008-01,27,A
17W,GEOG-009-01,34,A-/B+
17W,GEOG-014-01,16,A-/B+
17W,GEOG-017-01,18,A-/B+
17W,GEOG-020-01,21,B+
17W,GEOG-025-01,37,A
17W,GEOG-032-01,31,A
17W,GEOG-054-01,20,A-
17W,GEOG-059-01,17,A
17W,GEOG-065-01,25,A-
17W,GEOG-07.12-01,15,A-
17W,GEOG-07.15-01,16,A-
17W,GERM-001-01,12,A-
17W,GERM-002-01,13,A
17W,GERM-002-02,11,A
17W,GERM-07.04-01,16,A
17W,GOVT-003-01,39,B+
17W,GOVT-006-01,37,B+
17W,GOVT-010-01,27,B+
17W,GOVT-010-02,30,B+
17W,GOVT-010-03,27,A-
17W,GOVT-034-01,12,A-
17W,GOVT-059-01,33,B+
17W,GOVT-061-01,31,A-
17W,GOVT-062-01,15,B+
17W,GOVT-067-01,25,B+
17W,GOVT-07.12-01,16,A-
17W,GOVT-19.01-01,22,A-
17W,GOVT-20.03-01,32,A-
17W,GOVT-20.05-01,25,A-
17W,GOVT-40.19-01,28,A-
17W,GOVT-40.20-01,33,B+
17W,GOVT-50.04-01,27,B+
17W,GOVT-50.05-01,29,B+
17W,GOVT-50.16-01,27,B+
17W,GOVT-60.14-01,27,B+
17W,GOVT-81.10-01,13,B+
17W,GOVT-83.02-01,18,A-
17W,GOVT-83.09-01,12,A
17W,GOVT-84.01-01,13,A-
17W,GOVT-84.06-01,14,A-
17W,GOVT-85.02-01,11,A-
17W,GOVT-85.27-01,12,B+
17W,GOVT-86.03-01,14,A-
17W,GOVT-86.05-01,12,B+
17W,HEBR-051-01,16,A-
