TERM,COURSE,ENRL,MEDIAN
16F,FILM-001-01,49,A-
16F,FILM-020-01,28,B+
16F,FILM-030-01,12,A-
16F,FILM-033-01,13,A-
16F,FILM-41.02-01,12,A-/B+
16F,FILM-46.04-01,13,A
16F,FILM-47.06-01,11,A
16F,FILM-50.02-01,46,A-
16F,FREN-001-01,14,A-
16F,FREN-001-02,14,A-
16F,FREN-001-03,15,A-
16F,FREN-002-01,14,A-
16F,FREN-002-02,15,A-
16F,FREN-002-04,14,B+
16F,FREN-003-01,11,A-
16F,FREN-003-02,15,A-
16F,FREN-003-03,17,A-
16F,FREN-008-01,10,A-
16F,FREN-008-02,14,A
16F,FREN-021-01,17,A-
16F,FREN-10.08-01,13,A
16F,FREN-53.07-01,14,A /A-
16F,FRIT-093-01,13,A
16F,GEOG-001-01,42,B+
16F,GEOG-002-01,34,A-
16F,GEOG-006-01,29,B+
16F,GEOG-011-01,21,A
16F,GEOG-012-01,17,B+
16F,GEOG-022-01,39,B+
16F,GEOG-024-01,17,A-
16F,GEOG-031-01,11,A
16F,GEOG-050-01,33,B+
16F,GEOG-057-01,13,B+
16F,GEOG-067-01,24,A-
16F,GEOG-090-02,13,A
16F,GEOG-090-03,17,A
16F,GEOG-090-04,15,A-
16F,GERM-001-02,12,A
16F,GERM-003-01,12,A
16F,GERM-10.01-01,17,A
16F,GOVT-003-01,54,A-
16F,GOVT-004-01,48,B+
16F,GOVT-005-01,48,B+
16F,GOVT-005-02,53,B+
16F,GOVT-006-01,25,A-
16F,GOVT-010-01,27,A-
16F,GOVT-010-02,22,A
16F,GOVT-016-01,53,B+
16F,GOVT-016-02,53,B+
16F,GOVT-031-01,37,B+
16F,GOVT-042-01,35,A-
16F,GOVT-054-01,42,B+
16F,GOVT-065-01,42,B+
16F,GOVT-091-90,18,A-
16F,GOVT-092-90,18,A-
16F,GOVT-20.01-01,35,B+
16F,GOVT-30.03-01,36,B+
16F,GOVT-30.09-01,30,B+
16F,GOVT-40.05-01,29,A-
16F,GOVT-40.06-01,11,A-
16F,GOVT-40.09-01,27,B+
16F,GOVT-49.06-01,25,A-
16F,GOVT-50.06-01,37,B+
16F,GOVT-60.04-01,37,B+
16F,GOVT-60.05-01,48,A-
16F,GOVT-60.09-01,25,B+
16F,GOVT-60.10-01,13,B+
16F,GOVT-64.01-01,19,B+
16F,GOVT-66.02-01,12,B+
16F,GOVT-83.05-01,16,A-
16F,GOVT-83.19-01,17,A-
16F,GOVT-85.10-01,11,A-
16F,GOVT-85.12-01,12,A-
16F,GOVT-85.16-01,16,A-/B+
16F,GOVT-85.36-01,14,A-
16F,GOVT-86.18-01,11,A-
16F,GOVT-86.27-01,16,A-
16F,GOVT-86.32-01,13,A-
16F,GOVT-90.01-90,18,A
16F,HEBR-63.01-01,13,A
16F,HIST-003-01,34,A-
16F,HIST-012-01,30,B+
16F,HIST-019-01,33,A
16F,HIST-022-01,26,A-
16F,HIST-036-01,41,B+
16F,HIST-042-01,28,A-
16F,HIST-049-01,12,A-/B+
16F,HIST-05.05-01,32,A-
16F,HIST-05.11-01,13,B+
16F,HIST-053-01,31,B+
16F,HIST-058-01,11,A-
16F,HIST-062-01,17,B+
16F,HIST-075-01,17,A-
16F,HIST-08.03-01,44,B+
16F,HIST-08.04-01,11,A
16F,HIST-43.03-01,14,A-/B+
16F,HIST-90.01-01,22,A
16F,HIST-91.01-01,11,A
16F,HIST-94.04-01,17,A
16F,HIST-95.01-90,16,A-
16F,HIST-95.02-90,16,A-
16F,HIST-96.14-01,12,A-
16F,HIST-96.29-01,12,A-
