TERM,COURSE,ENRL,MEDIAN
17S,ENGS-088-01,14,A
17S,ENGS-128-01,17,A
17S,ENGS-146-01,12,A-
17S,ENGS-165-01,10,A-
17S,ENVS-012-01,45,B+
17S,ENVS-015-01,51,A-
17S,ENVS-019-01,19,A-
17S,ENVS-020-01,24,B+
17S,ENVS-030-01,27,A-
17S,ENVS-050-01,24,A
17S,ENVS-056-01,16,B+/B
17S,ENVS-061-01,17,A
17S,ENVS-07.04-01,15,A-
17S,ENVS-07.11-01,16,A-
17S,ENVS-079-01,17,A-
17S,ENVS-80.02-01,14,A
17S,FILM-023-01,25,A-
17S,FILM-034-01,11,A-
17S,FILM-037-01,12,A
17S,FILM-045-01,27,A-
17S,FILM-051-01,14,A
17S,FILM-07.16-01,15,A-
17S,FILM-42.08-01,33,A-
17S,FILM-44.01-01,11,B+
17S,FILM-47.07-01,26,A-
17S,FREN-002-01,11,A-
17S,FREN-002-02,10,B+
17S,FREN-003-01,18,A-
17S,FREN-003-02,13,A-
17S,FREN-003-03,21,A-
17S,FREN-008-01,16,A-
17S,FREN-022-01,13,B+
17S,FREN-45.04-01,13,A-
17S,GEOG-001-01,45,B+
17S,GEOG-002-01,24,B+
17S,GEOG-003-01,38,A
17S,GEOG-005-01,40,A
17S,GEOG-015-01,44,A-
17S,GEOG-019-01,22,A-
17S,GEOG-023-01,24,A-
17S,GEOG-028-01,22,B+/B
17S,GEOG-047-90,11,A
17S,GEOG-050-01,36,B+
17S,GEOG-056-01,15,A-
17S,GEOG-07.13-01,16,A-
17S,GEOG-081-90,11,A-
17S,GEOG-082-90,11,A
17S,GERM-002-01,10,A-
17S,GERM-003-01,15,A-
17S,GERM-10.03-01,11,A-
17S,GERM-82.04-01,10,A
17S,GOVT-004-01,38,A-
17S,GOVT-005-01,38,B+
17S,GOVT-005-02,40,B+
17S,GOVT-005-03,39,A-
17S,GOVT-006-01,37,B+
17S,GOVT-010-01,31,B+
17S,GOVT-010-02,33,B+
17S,GOVT-044-01,28,A-
17S,GOVT-052-01,28,B+
17S,GOVT-053-01,33,B+
17S,GOVT-07.03-01,15,A-
17S,GOVT-19.05-01,14,A-
17S,GOVT-20.01-01,30,B+
17S,GOVT-30.04-01,29,B+
17S,GOVT-30.10-01,29,A-
17S,GOVT-30.11-01,27,B+
17S,GOVT-40.02-01,18,A-
17S,GOVT-40.15-01,42,A-
17S,GOVT-40.15-02,25,A-
17S,GOVT-40.21-01,25,A-
17S,GOVT-50.05-01,30,B+
17S,GOVT-66.03-01,26,B+
17S,GOVT-83.04-01,15,A-
17S,GOVT-83.21-01,16,A-
17S,GOVT-84.13-01,13,A-
17S,GOVT-84.26-01,12,A-
17S,GOVT-84.34-01,12,A/A-
17S,GOVT-85.08-01,15,A-
17S,GOVT-85.21-01,11,A-
17S,GOVT-86.19-01,16,A-
17S,GOVT-86.33-01,17,A-
17S,HIST-008-01,21,A-
17S,HIST-015-01,27,B+
17S,HIST-016-01,16,A/A-
17S,HIST-017-01,17,B
17S,HIST-03.03-01,25,A-
17S,HIST-030-01,29,B
17S,HIST-034-01,26,B+
17S,HIST-047-01,17,A-
17S,HIST-050-01,16,B+
17S,HIST-061-01,11,A-
17S,HIST-07.01-01,15,B+
17S,HIST-07.02-01,15,A-
17S,HIST-07.26-01,13,A-
17S,HIST-07.27-01,15,A-
17S,HIST-078-01,10,A-/B+
17S,HIST-079-01,36,A-
17S,HIST-080-01,16,B+
17S,HIST-25.03-01,26,B
17S,HIST-33.01-01,24,A
17S,HIST-92.02-01,17,A-
17S,HIST-94.11-01,22,A-
17S,HIST-96.07-01,12,A-
17S,HIST-96.22-01,12,A-
17S,HIST-96.25-01,12,A/A-
17S,HIST-96.27-01,11,B+
17S,HIST-96.28-01,12,A
17S,HIST-96.30-01,13,B+
17S,INTS-018-01,24,B+
17S,INTS-17.04-01,26,A-
17S,ITAL-011-02,11,A-
17S,JAPN-003-01,11,A-
17S,JAPN-003-02,11,A-
17S,JAPN-010-01,49,A
17S,JAPN-61.06-01,26,A
17S,JWST-062-01,24,A-
17S,JWST-36.02-01,22,A-
17S,JWST-66.02-01,18,A-
17S,LACS-036-01,19,A-
17S,LACS-043-01,15,A
17S,LACS-054-01,17,A-
17S,LACS-30.12-01,18,A-
17S,LACS-50.08-01,42,A-
17S,LACS-50.08-02,25,A-
17S,LACS-50.13-01,16,B+
17S,LAT-003-01,17,A-
17S,LAT-003-02,18,A-
17S,LATS-037-01,15,A
17S,LATS-040-01,22,B+/B
17S,LATS-045-01,24,A
17S,LING-001-01,36,A-
17S,LING-001-02,37,A-
17S,LING-017-01,28,A/A-
17S,LING-021-01,26,B+
17S,LING-033-01,11,A-
17S,LING-07.01-01,13,A-
17S,MATH-008-01,36,B
17S,MATH-008-02,36,B
17S,MATH-010-01,20,A/A-
17S,MATH-013-01,56,B
17S,MATH-013-02,56,B
17S,MATH-020-01,28,A-
17S,MATH-022-01,99,B
17S,MATH-022-02,99,B
17S,MATH-022-03,99,B
17S,MATH-022-04,99,B
17S,MATH-023-01,38,A-/B+
17S,MATH-023-02,38,A-/B+
17S,MATH-024-01,21,A-
17S,MATH-027-01,21,A
17S,MATH-038-01,17,A-
17S,MATH-043-01,22,B+/B
17S,MATH-046-01,15,B+
17S,MATH-05.01-01,14,A-
17S,MATH-07.03-01,32,A
17S,MATH-07.03-02,32,A
17S,MUS-006-01,31,A
17S,MUS-032-01,10,A
17S,MUS-034-01,14,A/A-
17S,MUS-05.02-01,30,A
17S,MUS-051-01,38,A
17S,MUS-070-90,10,A
17S,MUS-071-90,10,A-
17S,MUS-087-90,10,A
17S,MUS-45.07-01,26,A-
17S,MUS-53.03-01,13,A
17S,MUS-54.03-01,10,A
17S,MUS-56.03-01,24,A
17S,NAS-008-01,43,A-
17S,NAS-010-01,39,B+
17S,NAS-015-01,27,B+
17S,NAS-019-01,19,A-
17S,NAS-035-01,48,B+
17S,NAS-30.14-01,22,A-
17S,NAS-80.01-01,13,A
17S,NAS-81.02-01,13,A-
17S,PBPL-026-01,42,B
17S,PBPL-041-01,19,A-
17S,PBPL-046-01,27,B+
17S,PHIL-004-01,28,A
17S,PHIL-005-01,30,A-
17S,PHIL-006-01,19,B+
17S,PHIL-008-01,37,A-
17S,PHIL-01.02-01,18,A
17S,PHIL-01.08-01,28,A
17S,PHIL-026-01,34,A
17S,PHIL-034-01,11,A
17S,PHIL-038-01,19,A
17S,PHIL-19.01-01,15,A-
17S,PHYS-002-01,21,B+
17S,PHYS-004-01,33,B+
17S,PHYS-014-01,109,B+
17S,PHYS-014-02,109,B+
17S,PHYS-030-01,17,A-
17S,PHYS-040-01,23,B
17S,PHYS-07.05-01,16,A
17S,PHYS-075-01,14,A-
17S,PHYS-076-01,11,A-
17S,PSYC-001-01,60,B
17S,PSYC-006-01,30,B+/B
17S,PSYC-010-01,59,A-
17S,PSYC-011-01,27,B+
17S,PSYC-022-01,61,A-
17S,PSYC-028-01,173,B+
17S,PSYC-046-01,37,B
17S,PSYC-065-01,24,B
17S,PSYC-07.02-01,15,B+
17S,PSYC-50.09-01,24,A-
17S,PSYC-52.04-01,14,A-
17S,PSYC-53.10-01,36,A
17S,PSYC-53.11-01,26,A-
17S,PSYC-54.03-01,21,A
17S,PSYC-83.05-01,17,A
17S,PSYC-85.04-01,14,A
17S,QSS-30.02-01,14,A-
17S,QSS-30.03-01,16,A-
17S,QSS-30.06-01,18,A-
17S,REL-01.02-01,32,A-/B+
17S,REL-011-01,17,A-
17S,REL-016-01,33,A-
17S,REL-023-01,24,A-
17S,REL-039-01,32,A
17S,REL-043-01,20,A/A-
17S,REL-064-01,25,A
17S,REL-19.14-01,22,A-
17S,REL-20.05-01,20,A
17S,REL-32.01-01,10,A-/B+
17S,REL-32.06-01,22,A-
17S,REL-32.07-01,17,B+
17S,REL-57.06-01,21,B+
17S,RUSS-003-01,12,A-/B+
17S,RUSS-010-01,36,A
17S,RUSS-014-01,20,A-
17S,RUSS-017-01,33,A
17S,RUSS-032-01,26,A
17S,RUSS-036-01,14,A
17S,SART-015-01,14,A-/B+
17S,SART-015-02,13,A
17S,SART-016-01,12,A-
17S,SART-020-01,12,A/A-
17S,SART-025-01,15,A-
17S,SART-027-01,13,A-
17S,SART-029-01,11,A
17S,SART-077-01,13,A
17S,SART-17.08-01,14,A
17S,SART-17.17-01,11,B+
17S,SOCY-001-01,49,A
17S,SOCY-010-01,28,B+
17S,SOCY-011-01,24,B+
17S,SOCY-021-01,35,A
17S,SOCY-026-01,24,B
17S,SOCY-034-01,27,A
17S,SOCY-038-01,16,A
17S,SOCY-047-01,15,A
17S,SOCY-048-01,22,B+/B
17S,SOCY-056-01,24,A-
17S,SOCY-07.02-01,16,A-/B+
17S,SOCY-07.03-01,15,B+
17S,SOCY-091-01,15,B+
17S,SOCY-49.17-01,11,A-
17S,SOCY-49.24-01,11,A-
17S,SPAN-001-01,55,A-
17S,SPAN-001-02,55,A-
17S,SPAN-001-03,55,A-
17S,SPAN-001-04,55,A-
17S,SPAN-002-01,47,A-
17S,SPAN-002-02,47,A-
17S,SPAN-002-03,47,A-
17S,SPAN-002-04,47,A-
17S,SPAN-003-01,70,A-
17S,SPAN-003-02,70,A-
17S,SPAN-003-03,70,A-
17S,SPAN-003-04,70,A-
17S,SPAN-003-05,70,A-
17S,SPAN-003-06,70,A-
17S,SPAN-003-91,15,A-
17S,SPAN-005-91,15,A
17S,SPAN-006-91,15,A-
17S,SPAN-009-01,38,A/A-
17S,SPAN-009-02,38,A/A-
17S,SPAN-020-01,35,A
17S,SPAN-020-02,35,A
17S,SPAN-023-90,17,A-
17S,SPAN-030-01,20,A-
17S,SPAN-033-90,17,A
17S,SPAN-035-90,17,A
17S,SPAN-40.06-01,16,A-
17S,SPAN-63.01-01,26,A-
17S,SPAN-80.12-01,18,A
17S,SPEE-030-01,12,A-
17S,SPEE-20.01-01,14,A-
17S,SPEE-20.02-01,11,A
17S,THEA-001-01,14,A
17S,THEA-017-01,12,A
17S,THEA-022-01,21,A
17S,THEA-024-01,31,A
17S,THEA-027-01,18,A
17S,THEA-030-01,16,A
17S,THEA-031-01,10,A
17S,THEA-036-01,18,A
17S,THEA-040-01,13,A-
17S,THEA-048-01,14,A
17S,THEA-07.01-01,16,A-
17S,THEA-07.01-02,16,A
17S,THEA-10.04-01,15,A
17S,THEA-10.05-01,24,A
17S,THEA-10.08-01,17,A
17S,TUCK-003-01,115,A-
17S,TUCK-003-02,115,A-
17S,WGSS-016-01,22,A-
17S,WGSS-07.14-01,15,A-
17S,WGSS-07.15-01,15,A
17S,WGSS-21.01-01,11,B
17S,WGSS-30.05-01,19,A-
17S,WGSS-31.04-01,30,B+
17S,WGSS-34.02-01,10,A-
17S,WGSS-34.04-01,24,A-
17S,WGSS-36.01-01,31,A
17S,WGSS-46.01-01,28,A
17S,WGSS-51.09-01,27,B+
17S,WGSS-52.04-01,18,A-
17S,WRIT-008-01,14,A-
17S,WRIT-041-01,19,A-
17S,WRIT-07.15-01,15,A
17S,WRIT-07.16-01,16,A-
17S,WRIT-07.17-01,16,A
17S,WRIT-07.18-01,16,A
